value,label
CCRN,CCRN - Cross Ctry Hlthcr
CCUR,CCUR - Concurrent Computer
CCXI,CCXI - Chemocentryx Inc
CDC,CDC - Victory Cemp US Eq I
CDEV,CDEV - Centennial Resource Development Inc
CDEVW,CDEVW - Centennial Resource Development Inc
CDK,CDK - Cdk Global Inc
CDL,CDL - Victory Cemp US Larg
CDNA,CDNA - Caredx Inc Cmn
CDNS,CDNS - Cadence Design Sys
CDOR,CDOR - Condor Hospitality T
CDTI,CDTI - Clean Diesel Technol
CDTX,CDTX - Cidara Thera Cmn
CDW,CDW - CDW Corporation
CDXC,CDXC - Chromadex Corp CS
CDXS,CDXS - Codexis Inc
CDZI,CDZI - Cadiz Inc
CECE,CECE - C E C O Envir
CECO,CECO - Career Education
CELG,CELG - Celgene Corp
CELGZ,CELGZ - Celgene Cp Cvr
CEMI,CEMI - Chembio Diagnostics
CEMP,CEMP - Cempra Inc
CENT,CENT - Central Garden
CENTA,CENTA - Central Garden & Pet
CENX,CENX - Century Aluminum C
CERC,CERC - Cerecor Inc Cmn Stk
CERCW,CERCW - Cerecor Inc Cl A Wt
CERCZ,CERCZ - Cerecor Inc Cl B Wt
CERN,CERN - Cerner Corp
CERS,CERS - Cerus Corp
CERU,CERU - Cerulean Pharma Cmn
CETC,CETC - Hongli Clean Energy Technologies Corp
CETV,CETV - Central EUR Med A
CETX,CETX - Cemtrex Inc Cmn Stk
CETXP,CETXP - Cemtrex Inc. Series 1 Pfd.
CETXW,CETXW - Cemtrex Inc. Series 1 Warrant
CEVA,CEVA - Ceva Inc
CEZ,CEZ - Vctry Cemp EM Vlt Wt
CFA,CFA - Victory Cemp US 500
CFBK,CFBK - Central Fed Cp
CFCB,CFCB - Centrue Financial Cmn
CFCO,CFCO - Cf Corp
CFCOU,CFCOU - Cf Corporation Units
CFCOW,CFCOW - Cf Corporation
CFFI,CFFI - C&F Financial Corp
CFFN,CFFN - Capitol Fed Finl Inc
CFMS,CFMS - Conformis Inc CS
CFNB,CFNB - Calif First National
CFNL,CFNL - Cardinal Fin Cp
CFO,CFO - Victory Cemp Us500E
CFRX,CFRX - Contrafect Cmn
CG,CG - The Carlyle Group
CGEN,CGEN - Compugen Ltd
CGIX,CGIX - Cancer Genetics Inc
CGNT,CGNT - Cogentix Medical In
CGNX,CGNX - Cognex Cp
CGO,CGO - Calamos Glb Ttl Rtn
CHCI,CHCI - Comstock Hldgs Cos
CHCO,CHCO - City Holding Co
CHDN,CHDN - Churchill Downs In
CHEF,CHEF- The Chefs Warehouse
CHEK,CHEK - Check-Cap Ltd. Ord
CHEKW,CHEKW - Check-Cap Ltd A Wt
CHFC,CHFC - Chemical Financial
CHFN,CHFN - Charter Finl Corp
CHI,CHI - Calamos Cv Opp & Inc
CHKE,CHKE - Cherokee Inc
CHKP,CHKP - Check Point Software
CHMA,CHMA - Chiasma Inc Cmn
CHMG,CHMG - Chemung Financial Cp
CHNR,CHNR - China Natural Res
CHRS,CHRS - Coherus Bio Cmn Stk
CHRW,CHRW - C.H. Robinson Ww
CHSCL,CHSCL - CHS B Cum Pfd Srs 4
CHSCM,CHSCM - CHS Pfd Clb Ser3
CHSCN,CHSCN - CHS Inc Pfd B Srs 2
CHSCO,CHSCO - CHS Inc Cl B Pfd
CHSCP,CHSCP - CHS Inc Cum Pfd
CHTR,CHTR - Charter Communicatio
CHUBA,CHUBA - Commercehub Inc
CHUBK,CHUBK - Commercehub Inc
CHUY,CHUY - Chuy's Holdings Inc
CHW,CHW - Calamos Gbl Dyn Inc
CHY,CHY - Calamos Cv & High In
CIBR,CIBR - First TR Ndq Cybr ETF
CID,CID - Victory Cemp Interna
CIDM,CIDM - Cinedigm Corp
CIGI,CIGI - Colliers Intl Grp In
CIL,CIL - Victory Cemp Intl Vo
CINF,CINF - Cincinnati Financial
CIVB,CIVB - Civista Bncshrs Cmn
CIVBP,CIVBP - Civista Bancshrs Dep
CIZ,CIZ - Victory Cemp Dev Enh
CIZN,CIZN - Citizens Hldg Co
CJJD,CJJD - China Jojo Drugstore
CLAC,CLAC - Capitol Acq Corp III
CLACU,CLACU - Capitol Acq III Ut
CLACW,CLACW - Capitol Acq Cp 3 Wts
CLBS,CLBS - Caladrius Bio Cmn
CLCT,CLCT - Collectors Universe
CLDC,CLDC - China Lending Corp
CLDX,CLDX - Celldex Therapeutics
CLFD,CLFD - Clearfield Inc
CLIR,CLIR - Clearsign Combustion
CLIRW,CLIRW - Clearsign Combustion Corporation Warrant
CLLS,CLLS - Cellectis S.A. Ads
CLMT,CLMT - Calumet Specialty Pr
CLNE,CLNE - Clean Energy Fuels
CLNT,CLNT - Cleantech Solutions
CLRB,CLRB - Cellectar Biosc Cmn
CLRBW,CLRBW - Cellectar Biosc Wt
CLRBZ,CLRBZ - Cellectar Bio Sra Wt
CLRO,CLRO - Clearone Inc
CLSD,CLSD - Clearside Biomedi Cmn
CLSN,CLSN - Celsion Corp
CLUB,CLUB - Town Sports Internat
CLVS,CLVS - Clovis Oncology Inc
CLWT,CLWT - Euro Tech Hldg
CMCO,CMCO - Columbus Mckinnon
CMCSA,CMCSA - Comcast Corp A
CMCT,CMCT - Cim Commercial TR Cp
CME,CME - CME Group Inc
CMFN,CMFN - Cm Finance Cmn
CMLS,CMLS - Cumulus Media Inc
CMPR,CMPR - Cimpress N.V. Ord
CMRX,CMRX - Chimerix Inc
CMTL,CMTL - Comtech Telecom Co
CNAT,CNAT - Conatus Pharmaceutic
CNBKA,CNBKA - Century Bancorp Inc
CNCE,CNCE - Concert Pharmaceutic
CNCR,CNCR - Loncar Cancer Immuno
CNET,CNET - Chinanet Online Hldg
CNFR,CNFR - Conifer Holdings Cmn
CNIT,CNIT - China Info Tech
CNMD,CNMD - C O N M E D Cp
CNOB,CNOB - Connectone Bancorp
CNSL,CNSL - Consolidated Communi
CNTF,CNTF - China Techfaith Wire
CNTY,CNTY - Century Casinos In
CNXN,CNXN - PC Connection Inc
CNXR,CNXR - Connecture Inc Cmn
COBZ,COBZ - Cobiz Financial Inc
COGT,COGT - Cogint Inc
COHR,COHR - Coherent Inc
COHU,COHU - Cohu Inc
COKE,COKE - Coca Cola Bot Cons
COLB,COLB - Columbia Banking Sys
COLL,COLL - Collegium Pharma Cmn
COLM,COLM - Columbia Sprtswr
COMM,COMM - Commscope Holding Co
COMT,COMT - Ishrs Cmdty Sel Stra
CONE,CONE - Cyrusone Inc Cmn
CONN,CONN - Conn's Inc
COOL,COOL - Majesco Entertainmnt
CORE,CORE - Core Mark Holding
CORI,CORI - Corium Intl Cmn
CORT,CORT - Corcept Therapeutics
COST,COST - Costco Wholesale
COUP,COUP - Coupa Software Inc
COVS,COVS - Covisint Corp Cmn
COWN,COWN - Cowen Group Inc
COWNL,COWNL - Cowen Grp 8.25 Sr Nt
COYN,COYN - Copsync Inc Cmn
COYNW,COYNW - Copsync Inc Warrnt
CPAA,CPAA - Conyers Park Acquisition Corp
CPAAU,CPAAU - Conyers Park Acquisition Corp
CPAAW,CPAAW - Conyers Park Acquisition Corp. Wt
CPAH,CPAH - Counterpath Corp
CPHC,CPHC - Canterbury Park Hl
CPIX,CPIX - Cumberland Pharmaceu
